DateTime;NO2;O3;P;SQ;WD;Wvh;dewP;temp
2021-08-03 22:00:00;12.8;40.0;30.0;0.0;30.0;20.0;115.0;124.0
2021-08-03 23:00:00;16.2;36.6;20.0;0.0;20.0;10.0;114.0;117.0
2021-08-04 00:00:00;11.3;33.7;10.0;0.0;0.0;0.0;113.0;118.0
2021-08-04 01:00:00;6.5;35.5;10.0;0.0;0.0;10.0;111.0;114.0
2021-08-04 02:00:00;5.0;36.0;10.0;0.0;0.0;10.0;110.0;114.0
2021-08-04 03:00:00;6.3;31.8;20.0;0.0;60.0;10.0;114.0;119.0
2021-08-04 04:00:00;7.3;30.8;20.0;0.0;70.0;10.0;125.0;129.0
2021-08-04 05:00:00;8.9;35.6;20.0;0.0;70.0;10.0;128.0;152.0
2021-08-04 06:00:00;12.7;38.3;40.0;0.0;100.0;20.0;132.0;167.0
2021-08-04 07:00:00;8.9;48.1;40.0;0.0;70.0;20.0;134.0;181.0
2021-08-04 08:00:00;7.9;48.6;50.0;0.0;60.0;20.0;127.0;193.0
2021-08-04 09:00:00;8.3;53.4;50.0;0.0;50.0;20.0;127.0;200.0
2021-08-04 10:00:00;5.4;62.1;50.0;0.0;50.0;20.0;123.0;213.0
2021-08-04 11:00:00;4.2;69.1;50.0;0.0;70.0;30.0;126.0;206.0
2021-08-04 12:00:00;4.9;72.6;60.0;0.0;110.0;30.0;115.0;209.0
2021-08-04 13:00:00;5.2;80.0;50.0;0.0;70.0;30.0;132.0;208.0
2021-08-04 14:00:00;5.2;84.1;60.0;0.0;60.0;30.0;132.0;196.0
2021-08-04 15:00:00;5.3;86.3;80.0;2.0;310.0;40.0;150.0;162.0
2021-08-04 16:00:00;5.3;87.4;100.0;10.0;0.0;30.0;130.0;159.0
2021-08-04 17:00:00;6.6;82.9;30.0;6.0;80.0;20.0;149.0;170.0
2021-08-04 18:00:00;6.9;76.7;30.0;0.0;40.0;20.0;153.0;165.0
2021-08-04 19:00:00;7.7;60.9;30.0;0.0;70.0;20.0;146.0;156.0
2021-08-04 20:00:00;10.5;59.9;20.0;0.0;0.0;10.0;145.0;159.0
2021-08-04 21:00:00;8.9;64.0;20.0;0.0;30.0;10.0;149.0;157.0
2021-08-04 22:00:00;10.0;51.6;10.0;0.0;50.0;10.0;150.0;155.0
2021-08-04 23:00:00;10.9;43.2;20.0;0.0;50.0;10.0;138.0;143.0
2021-08-05 00:00:00;11.9;36.6;20.0;0.0;290.0;10.0;136.0;138.0
2021-08-05 01:00:00;9.2;35.5;10.0;0.0;100.0;10.0;127.0;129.0
2021-08-05 02:00:00;7.3;31.3;20.0;0.0;340.0;10.0;121.0;122.0
2021-08-05 03:00:00;6.4;29.9;20.0;0.0;70.0;10.0;117.0;119.0
2021-08-05 04:00:00;7.3;20.1;20.0;0.0;170.0;10.0;122.0;123.0
2021-08-05 05:00:00;9.0;12.7;10.0;0.0;0.0;10.0;142.0;145.0
2021-08-05 06:00:00;31.8;13.0;20.0;0.0;130.0;10.0;149.0;166.0
2021-08-05 07:00:00;29.9;20.8;20.0;0.0;220.0;0.0;146.0;178.0
2021-08-05 08:00:00;32.4;24.4;20.0;0.0;220.0;10.0;136.0;200.0
2021-08-05 09:00:00;32.8;41.4;30.0;0.0;120.0;10.0;141.0;215.0
