;L_train;L_val
0;0.01516505741945854;0.006699596842130025
1;0.005744216270835661;0.005231440144901474
2;0.004465347922566097;0.0049857388172919554
3;0.004245953838817957;0.004412371936875085
4;0.0039627162807780066;0.004193421802483499
5;0.003749381188621245;0.0035999577570085726
6;0.0038723246841805012;0.0037548874970525503
7;0.0035884554338891333;0.0035579328735669455
8;0.0031476238992337773;0.0035165809871008
9;0.0030431556259849814;0.003351493311735491
10;0.00306206678392411;0.0031947836202258864
11;0.0030639758049623997;0.0030578020572041473
12;0.0029643508435295124;0.0031066759256646037
13;0.002688615883859556;0.003110953781288117
14;0.002635785670973724;0.0031213946252440414
15;0.0026861362914532057;0.0032497012289240956
16;0.002438574785184933;0.002644009500121077
17;0.0023192689759747647;0.0026277690388572714
18;0.0023194797814074086;0.002650398702826351
19;0.0022987519055832086;0.002588134064959983
20;0.002290322084729446;0.0026404484912442663
21;0.0023029863624265644;0.002668237565861394
22;0.00228912159005498;0.002761592409418275
23;0.0022710860315028852;0.0026624370172309377
24;0.0022612435277551413;0.002564544634272655
25;0.002250099574533723;0.0025879680373085043
26;0.0022641448644784893;0.002640334151995679
27;0.00224355749342954;0.002639447532904645
28;0.0022387959846727006;0.002617152543583264
29;0.0021968783311000686;0.0026306945364922285
30;0.0021887556734926455;0.0026403267790252962
31;0.0021872340116604436;0.002642050754123678
32;0.002185775083489716;0.0026366073094929257
33;0.002187216776514017;0.002633506063527117
34;0.002184756835581871;0.002639762630375723
35;0.002184240207098788;0.00262814936771368
36;0.0021848764878175243;0.0026565061998553574
37;0.002183903065487379;0.002641479019075632
