;L_train;L_val
0;0.019329670623580857;0.00939755622918407
1;0.006085197668431736;0.0070681476111834245
2;0.004926613617188684;0.006527033401653171
3;0.004746903830048878;0.006867618300020695
4;0.0049890312025459805;0.008839621829489866
5;0.004341443120388359;0.005569221723514299
6;0.0040707704895062416;0.00544792724152406
7;0.003911124548034333;0.007160562556236982
8;0.004284395433099168;0.00597919977735728
9;0.004090197719406427;0.005386259717245896
10;0.004424430350432309;0.006033942413826783
11;0.003917188945839681;0.005737627856433392
12;0.003638941664021553;0.0044666882216309505
13;0.0034551938552772853;0.004917661737029751
14;0.003361174416523881;0.005260241644767423
15;0.0032681456835168166;0.005089098471216857
16;0.0032380809780301117;0.0051893629133701324
17;0.0028772885945239444;0.0041647640949425595
18;0.00273069591693035;0.0043879202178989845
19;0.0026884117254578487;0.0044951832193570835
20;0.0026597564801482893;0.004448787251021713
21;0.00262371471390219;0.004385987975789855
22;0.0026127435891639167;0.004548347167049845
23;0.0025940746971883063;0.004401930200401694
24;0.0025831293570241186;0.0044553582556545734
25;0.0025438413268136905;0.004484731626386444
26;0.002551335364398433;0.004923880100250244
27;0.0025423314002138084;0.004694715142250061
28;0.002515300665414188;0.00471246389982601
29;0.002427354883743314;0.004474451260951658
30;0.0024103018279164664;0.004498304023096959
31;0.002405621843957683;0.00448738814642032
32;0.0024050881194586796;0.00447678044050311
33;0.0023988166727443657;0.0044598224728057785
34;0.0023956123722444584;0.0044745902220408125
35;0.0023962202561428636;0.004466433815347652
36;0.0023939055135110167;0.00453944750673448
