;L_train;L_val
0;0.017130321243368994;0.008250641481329998
1;0.008130832143673083;0.005769876608004172
2;0.006021334210456144;0.006167955929413438
3;0.006247791904592659;0.006524638971313834
4;0.0056046393313785876;0.004425529972650111
5;0.0055671360275549135;0.004912511561997235
6;0.005480040727955539;0.00430730862232546
7;0.005200900637158533;0.005798694173184534
8;0.005246383314043647;0.004333963850513101
9;0.004903513500921246;0.005203245867354174
10;0.00517509161585533;0.004247759934514761
11;0.005125246845503769;0.005059845551537971
12;0.005094845222718105;0.004042927563811342
13;0.004944516527580052;0.003832974898008009
14;0.004866134954570997;0.004993645241484046
15;0.0048653656196576064;0.00439707903812329
16;0.004705404913870663;0.003737087555540105
17;0.004554106058870874;0.004251933579022686
18;0.004600002879004289;0.004733366542495787
19;0.004378226483467876;0.0047654435426617665
20;0.004521277647965201;0.004924733657389879
21;0.004124967625546382;0.003914856972793738
22;0.003811832068760584;0.004185522402015825
23;0.0037557938045299634;0.003915016655810177
24;0.0037093952116442888;0.003827324020676315
25;0.003672570694328808;0.0037907461325327554
26;0.0036484471056610346;0.00387574452906847
27;0.003641541820110344;0.0037088498550777635
28;0.0035897069213139577;0.003881371308428546
29;0.003589494267433155;0.004224251102035244
30;0.0035560963868458825;0.0037407207613190017
31;0.0035319607477726006;0.004331401859720548
