start_time,window_name,elapsed_time,gpu0_energy
1742474901.4767945,epoch,0.7604799270629883,32.01799999999639
1742474902.2395153,epoch,0.005199432373046875,0.0
1742474902.2465508,epoch,0.00455474853515625,0.0
1742474902.2543771,epoch,0.00520014762878418,0.0
1742474902.2609637,epoch,0.004499912261962891,0.0
1742474902.266883,epoch,0.0064334869384765625,0.0
1742474902.2749603,epoch,0.004708290100097656,0.0
1742474902.2812374,epoch,0.006526947021484375,38.828999999997905
1742474902.290047,epoch,0.011596441268920898,0.0
1742474902.3034842,epoch,0.005584239959716797,0.0
1742474902.3134756,epoch,0.005305051803588867,0.0
1742474902.3210258,epoch,0.005413055419921875,0.0
1742474902.327774,epoch,0.004588127136230469,0.0
1742474902.3339906,epoch,0.006710529327392578,0.0
1742474902.3423367,epoch,0.005034208297729492,0.0
1742474902.3490763,epoch,0.009023189544677734,0.0
1742474902.3598678,epoch,0.005417585372924805,0.0
1742474902.3668919,epoch,0.006941556930541992,0.0
1742474902.375839,epoch,0.005963563919067383,0.0
1742474902.383815,epoch,0.010222911834716797,0.0
1742474902.396067,epoch,0.005794048309326172,0.0
1742474902.4039605,epoch,0.0061876773834228516,0.0
1742474902.4135396,epoch,0.004998922348022461,0.0
1742474902.4205933,epoch,0.0052645206451416016,0.0
1742474902.42748,epoch,0.00446319580078125,0.0
1742474902.4335554,epoch,0.006962776184082031,0.0
1742474902.442174,epoch,0.004668235778808594,0.0
1742474902.44905,epoch,0.009835958480834961,0.0
1742474902.460425,epoch,0.004713296890258789,0.0
1742474902.466769,epoch,0.007125139236450195,0.0
1742474902.4756541,epoch,0.004891633987426758,0.0
1742474902.4820554,epoch,0.006196260452270508,66.27599999999802
1742474902.4937928,epoch,0.0051195621490478516,0.0
1742474902.5007205,epoch,0.006989002227783203,0.0
1742474902.510054,epoch,0.007230520248413086,0.0
1742474902.5189185,epoch,0.0058438777923583984,0.0
1742474902.5264616,epoch,0.004689693450927734,0.0
1742474902.5334432,epoch,0.0066928863525390625,0.0
1742474902.5417268,epoch,0.004755258560180664,0.0
1742474902.5479183,epoch,0.0061643123626708984,0.0
1742474902.5561073,epoch,0.004838228225708008,0.0
1742474902.562994,epoch,0.004715442657470703,0.0
1742474902.5697958,epoch,0.008034467697143555,0.0
1742474902.5792804,epoch,0.004518985748291016,66.96700000000419
1742474902.5854394,epoch,0.006399393081665039,0.0
1742474902.5936675,epoch,0.005147218704223633,0.0
1742474902.6005638,epoch,0.007181406021118164,0.0
1742474902.6097183,epoch,0.007886648178100586,0.0
1742474902.6201026,epoch,0.006821870803833008,0.0
1742474902.6287966,epoch,0.010178327560424805,34.49199999999837
