;STN;YYYYMMDD;HH;DD;FH;FF;FX;T;T10N;TD;SQ;Q;DR;RH;P;VV;N;U;WW;IX;M;R;S;O;Y
0;344;20190701;1;230;40;40;70;169;;153;0;0;0;0;10163;66;0;90;;5;0;0;0;0;0
1;344;20190701;2;250;50;40;80;169;;152;0;0;0;0;10162;68;3;89;;5;0;0;0;0;0
2;344;20190701;3;250;40;30;60;164;;146;0;0;0;0;10161;69;1;89;;5;0;0;0;0;0
3;344;20190701;4;260;30;30;50;161;;132;0;2;0;0;10164;70;3;82;;5;0;0;0;0;0
4;344;20190701;5;270;40;40;60;167;;134;7;27;0;0;10168;75;0;80;;5;0;0;0;0;0
5;344;20190701;6;270;40;50;80;175;147.0;131;10;77;0;0;10169;75;0;75;;5;0;0;0;0;0
6;344;20190701;7;280;50;50;80;185;;130;10;135;0;0;10171;75;1;70;;5;0;0;0;0;0
7;344;20190701;8;280;50;50;80;190;;131;10;184;0;0;10175;80;2;68;;5;0;0;0;0;0
8;344;20190701;9;280;50;60;90;187;;126;9;200;0;0;10184;80;4;67;;5;0;0;0;0;0
9;344;20190701;10;260;60;60;90;201;;134;7;203;0;0;10184;74;4;65;;5;0;0;0;0;0
10;344;20190701;11;290;60;60;90;192;;121;8;253;0;0;10186;81;6;63;;5;0;0;0;0;0
11;344;20190701;12;280;60;60;100;197;178.0;118;7;247;0;0;10192;80;6;60;;5;0;0;0;0;0
12;344;20190701;13;270;60;60;100;199;;116;9;316;0;0;10195;80;2;58;;5;0;0;0;0;0
13;344;20190701;14;280;50;50;90;195;;106;8;260;0;0;10197;80;3;56;;5;0;0;0;0;0
14;344;20190701;15;290;60;50;90;190;;109;7;185;0;0;10199;81;7;59;;5;0;0;0;0;0
15;344;20190701;16;280;50;50;80;190;;112;7;168;0;0;10198;80;5;60;;5;0;0;0;0;0
16;344;20190701;17;290;50;50;90;191;;105;10;155;0;0;10201;81;4;57;;5;0;0;0;0;0
17;344;20190701;18;290;50;40;80;186;199.0;104;10;118;0;0;10201;82;0;59;;5;0;0;0;0;0
18;344;20190701;19;280;30;30;60;176;;105;10;54;0;0;10203;83;0;63;;5;0;0;0;0;0
19;344;20190701;20;270;20;20;40;160;;106;3;10;0;0;10206;75;0;70;;5;0;0;0;0;0
20;344;20190701;21;270;20;20;30;147;;107;0;0;0;0;10214;75;1;76;;5;0;0;0;0;0
21;344;20190701;22;250;20;30;40;149;;118;0;0;0;0;10216;70;7;81;;5;0;0;0;0;0
22;344;20190701;23;250;20;20;40;151;;124;0;0;0;0;10219;70;8;83;;5;0;0;0;0;0
23;344;20190701;24;250;20;20;40;155;118.0;127;0;0;0;0;10219;70;8;83;;5;0;0;0;0;0
24;344;20190702;1;260;20;20;30;142;;116;0;0;0;0;10218;70;0;84;;5;0;0;0;0;0
25;344;20190702;2;280;20;20;40;140;;108;0;0;0;0;10217;70;0;81;;5;0;0;0;0;0
26;344;20190702;3;260;20;10;30;127;;111;0;0;0;0;10221;70;6;89;;5;0;0;0;0;0
27;344;20190702;4;270;20;20;30;145;;128;0;2;0;0;10225;70;8;89;;5;0;0;0;0;0
28;344;20190702;5;360;20;30;50;159;;136;0;10;0;-1;10229;70;8;86;23.0;7;0;1;0;0;0
29;344;20190702;6;20;30;30;60;168;96.0;117;2;47;0;0;10234;75;8;72;2.0;7;0;0;0;0;0
30;344;20190702;7;40;30;40;60;176;;99;8;126;0;0;10237;81;0;60;;5;0;0;0;0;0
