;STN;YYYYMMDD;HH;DD;FH;FF;FX;T;T10N;TD;SQ;Q;DR;RH;P;VV;N;U;WW;IX;M;R;S;O;Y
0;240;20170701;1;270;50;30;70;142;;137;0;0;10;20;10050;50;8;96;52.0;7;0;1;0;0;0
1;240;20170701;2;310;30;30;60;142;;136;0;0;10;7;10050;61;8;96;51.0;7;0;1;0;0;0
2;240;20170701;3;290;30;30;60;144;;138;0;0;8;3;10049;61;8;96;51.0;7;0;1;0;0;0
3;240;20170701;4;280;30;30;50;147;;143;0;0;8;5;10051;65;8;97;57.0;7;0;1;0;0;0
4;240;20170701;5;330;40;50;70;151;;142;0;3;10;10;10056;60;8;94;61.0;7;0;1;0;0;0
5;240;20170701;6;310;40;40;70;153;140.0;139;0;12;3;1;10061;65;8;91;23.0;7;0;1;0;0;0
6;240;20170701;7;330;50;60;90;161;;143;0;28;0;0;10066;64;8;88;;5;0;0;0;0;0
7;240;20170701;8;340;50;60;90;166;;144;0;36;0;0;10073;69;8;86;;5;0;0;0;0;0
8;240;20170701;9;340;60;60;100;172;;149;0;79;0;0;10082;70;8;86;;5;0;0;0;0;0
9;240;20170701;10;360;60;50;110;173;;147;0;61;0;-1;10089;70;8;84;23.0;7;0;1;0;0;0
10;240;20170701;11;350;60;70;110;171;;143;0;48;0;-1;10101;70;8;83;81.0;7;0;1;0;0;0
11;240;20170701;12;360;70;70;110;187;151.0;144;0;77;0;-1;10110;75;8;76;23.0;7;0;1;0;0;0
12;240;20170701;13;350;70;70;120;197;;148;2;151;0;0;10119;65;8;73;;5;0;0;0;0;0
13;240;20170701;14;330;70;60;100;192;;152;1;121;0;0;10127;62;8;77;;5;0;0;0;0;0
14;240;20170701;15;320;70;70;100;182;;140;1;148;0;0;10134;63;8;76;;5;0;0;0;0;0
15;240;20170701;16;320;70;60;100;172;;136;0;83;0;0;10140;62;8;79;;5;0;0;0;0;0
16;240;20170701;17;320;60;70;90;175;;129;1;77;0;0;10141;67;4;74;;5;0;0;0;0;0
17;240;20170701;18;310;60;60;90;175;175.0;131;10;110;0;0;10147;67;7;75;;5;0;0;0;0;0
18;240;20170701;19;300;50;50;70;167;;132;7;36;0;0;10153;67;4;79;;5;0;0;0;0;0
19;240;20170701;20;300;40;40;60;149;;128;3;10;0;0;10158;67;0;87;;5;0;0;0;0;0
20;240;20170701;21;280;20;20;50;132;;118;0;0;0;0;10160;65;5;91;;5;0;0;0;0;0
21;240;20170701;22;250;20;30;40;153;;129;0;0;0;0;10161;68;8;85;;5;0;0;0;0;0
22;240;20170701;23;220;30;40;50;146;;130;0;0;0;0;10163;65;8;90;;5;0;0;0;0;0
23;240;20170701;24;210;30;30;40;152;106.0;130;0;0;0;0;10161;70;8;86;;5;0;0;0;0;0
24;240;20170702;1;200;30;30;50;135;;122;0;0;0;0;10157;65;5;91;;5;0;0;0;0;0
25;240;20170702;2;200;30;30;50;150;;132;0;0;0;0;10154;70;8;89;;5;0;0;0;0;0
26;240;20170702;3;210;40;50;70;160;;142;0;0;0;0;10150;68;8;88;;5;0;0;0;0;0
27;240;20170702;4;220;50;40;70;164;;151;0;1;0;0;10149;61;8;92;;5;0;0;0;0;0
28;240;20170702;5;290;60;60;100;158;;145;0;6;0;-1;10155;57;8;92;51.0;7;0;1;0;0;0
29;240;20170702;6;280;40;40;80;158;124.0;143;0;15;2;1;10159;60;8;90;81.0;7;0;1;0;0;0
30;240;20170702;7;290;40;50;80;164;;137;0;27;0;-1;10164;70;8;84;23.0;7;0;1;0;0;0
31;240;20170702;8;310;60;60;90;178;;140;2;117;0;0;10168;75;8;78;;5;0;0;0;0;0
32;240;20170702;9;300;60;70;90;180;;139;1;127;0;0;10174;75;8;77;2.0;7;0;0;0;0;0
33;240;20170702;10;310;60;50;90;171;;130;1;82;0;0;10184;75;8;76;;5;0;0;0;0;0
34;240;20170702;11;300;60;60;90;187;;126;4;223;0;0;10188;74;7;67;;5;0;0;0;0;0
35;240;20170702;12;300;70;70;100;191;156.0;125;7;254;0;0;10193;76;3;65;1.0;7;0;0;0;0;0
36;240;20170702;13;300;70;70;100;172;;100;7;269;0;0;10199;76;8;62;;5;0;0;0;0;0
37;240;20170702;14;300;70;70;100;170;;109;3;169;0;0;10204;72;7;67;;5;0;0;0;0;0
38;240;20170702;15;300;70;70;100;173;;107;9;249;0;0;10207;78;6;64;;5;0;0;0;0;0
39;240;20170702;16;300;60;60;100;179;;106;7;152;0;0;10210;77;3;62;;5;0;0;0;0;0
40;240;20170702;17;300;70;70;90;170;;98;10;150;0;0;10213;80;2;62;;5;0;0;0;0;0
41;240;20170702;18;310;50;40;90;159;153.0;105;7;84;0;0;10216;75;4;70;;5;0;0;0;0;0
42;240;20170702;19;300;40;40;70;151;;101;10;53;0;0;10221;75;0;71;;5;0;0;0;0;0
43;240;20170702;20;290;30;20;50;131;;93;3;13;0;0;10221;75;0;78;;5;0;0;0;0;0
44;240;20170702;21;260;30;30;40;125;;95;0;0;0;0;10224;70;0;81;;5;0;0;0;0;0
45;240;20170702;22;240;30;40;50;133;;97;0;0;0;0;10225;75;0;78;;5;0;0;0;0;0
46;240;20170702;23;230;40;30;60;116;;93;0;0;0;0;10225;70;0;85;;5;0;0;0;0;0
47;240;20170702;24;200;30;20;50;110;89.0;92;0;0;0;0;10224;70;0;88;;5;0;0;0;0;0
48;240;20170703;1;220;30;30;40;109;;91;0;0;0;0;10222;70;0;88;;5;0;0;0;0;0
49;240;20170703;2;190;30;40;40;112;;97;0;0;0;0;10218;70;0;90;;5;0;0;0;0;0
50;240;20170703;3;190;30;30;40;113;;94;0;0;0;0;10213;70;0;88;;5;0;0;0;0;0
51;240;20170703;4;190;30;30;40;117;;96;0;3;0;0;10210;70;0;87;;5;0;0;0;0;0
52;240;20170703;5;180;30;40;50;134;;106;10;30;0;0;10209;70;2;83;;5;0;0;0;0;0
53;240;20170703;6;190;50;50;80;152;82.0;112;7;63;0;0;10206;73;2;77;;5;0;0;0;0;0
