;STN;YYYYMMDD;HH;DD;FH;FF;FX;T;T10N;TD;SQ;Q;DR;RH;P;VV;N;U;WW;IX;M;R;S;O;Y
0;344;20160701;1;210;70;70;130;168;;138;0;0;0;0;10104;70;8;82;;5;0;0;0;0;0
1;344;20160701;2;210;70;80;120;170;;142;0;0;0;0;10103;70;8;84;;5;0;0;0;0;0
2;344;20160701;3;210;70;70;120;167;;149;0;0;3;3;10102;64;8;89;81.0;7;0;1;0;0;0
3;344;20160701;4;210;70;70;110;167;;150;0;1;2;3;10101;70;8;90;23.0;7;0;1;0;0;0
4;344;20160701;5;220;70;90;130;170;;147;0;6;0;0;10100;70;8;86;;5;0;0;0;0;0
5;344;20160701;6;220;70;70;120;169;158.0;144;0;9;0;0;10102;70;8;85;2.0;7;0;0;0;0;0
6;344;20160701;7;230;80;70;130;168;;143;0;17;0;0;10107;70;8;85;;5;0;0;0;0;0
7;344;20160701;8;230;80;80;140;169;;137;0;20;0;0;10110;70;8;81;;5;0;0;0;0;0
8;344;20160701;9;230;70;70;130;173;;143;0;45;0;0;10111;70;8;83;;5;0;0;0;0;0
9;344;20160701;10;230;80;70;130;175;;137;0;49;0;0;10113;73;8;78;;5;0;0;0;0;0
10;344;20160701;11;220;70;70;120;181;;140;0;55;0;0;10111;75;8;77;;5;0;0;0;0;0
11;344;20160701;12;210;80;70;130;177;163.0;145;0;51;0;-1;10110;68;8;82;23.0;7;0;1;0;0;0
12;344;20160701;13;200;70;70;120;180;;146;0;69;0;-1;10107;70;8;81;23.0;7;0;1;0;0;0
13;344;20160701;14;220;70;80;130;170;;154;0;52;1;1;10107;50;8;90;58.0;7;0;1;0;0;0
14;344;20160701;15;210;80;70;120;176;;151;0;54;1;1;10103;70;8;85;23.0;7;0;1;0;0;0
15;344;20160701;16;210;70;80;130;179;;151;0;34;0;0;10101;70;8;84;;5;0;0;0;0;0
16;344;20160701;17;210;60;60;110;171;;158;0;14;3;8;10098;58;8;92;81.0;7;0;1;0;0;0
17;344;20160701;18;220;60;60;100;161;156.0;146;0;11;7;43;10096;65;8;91;23.0;7;0;1;0;0;0
18;344;20160701;19;200;60;60;90;163;;150;0;10;3;2;10090;65;8;92;51.0;7;0;1;0;0;0
19;344;20160701;20;210;60;60;100;161;;146;2;8;4;3;10088;65;8;91;23.0;7;0;1;0;0;0
20;344;20160701;21;230;70;80;130;156;;135;0;0;1;1;10094;70;8;87;23.0;7;0;1;0;0;0
21;344;20160701;22;230;60;60;110;149;;126;0;0;2;1;10095;70;8;86;81.0;7;0;1;0;0;0
22;344;20160701;23;230;60;60;90;146;;123;0;0;3;1;10094;70;8;86;23.0;7;0;1;0;0;0
23;344;20160701;24;240;60;60;110;147;138.0;124;0;0;0;0;10096;65;8;86;2.0;7;0;0;0;0;0
24;344;20160702;1;220;60;50;90;146;;127;0;0;0;0;10095;65;8;88;;5;0;0;0;0;0
