;STN;YYYYMMDD;HH;DD;FH;FF;FX;T;T10N;TD;SQ;Q;DR;RH;P;VV;N;U;WW;IX;M;R;S;O;Y
0;260;20180701;1;90;50;50;90;176;;54;0;0;0;0;10161;83;0;44;;5;0;0;0;0;0
1;260;20180701;2;90;50;40;80;166;;54;0;0;0;0;10162;83;0;47;;5;0;0;0;0;0
2;260;20180701;3;80;40;40;70;160;;53;0;0;0;0;10165;83;0;49;;5;0;0;0;0;0
3;260;20180701;4;90;50;50;80;159;;54;0;4;0;0;10165;83;0;49;;5;0;0;0;0;0
4;260;20180701;5;90;40;50;80;169;;61;10;32;0;0;10167;83;0;48;;5;0;0;0;0;0
5;260;20180701;6;90;50;60;100;184;141.0;62;10;80;0;0;10169;82;0;44;;5;0;0;0;0;0
6;260;20180701;7;100;60;60;100;202;;73;10;139;0;0;10171;82;0;43;;5;0;0;0;0;0
7;260;20180701;8;110;70;80;120;216;;67;10;197;0;0;10171;82;0;38;;5;0;0;0;0;0
8;260;20180701;9;100;80;70;120;229;;63;10;249;0;0;10170;80;0;34;;5;0;0;0;0;0
9;260;20180701;10;100;90;90;140;237;;61;10;288;0;0;10169;80;0;32;;5;0;0;0;0;0
10;260;20180701;11;90;80;100;150;247;;53;10;315;0;0;10168;80;0;28;;5;0;0;0;0;0
11;260;20180701;12;110;90;80;140;250;192.0;49;10;328;0;0;10169;81;0;27;;5;0;0;0;0;0
12;260;20180701;13;100;70;80;130;260;;57;10;320;0;0;10164;81;0;27;;5;0;0;0;0;0
13;260;20180701;14;90;70;60;120;259;;46;10;297;0;0;10161;80;0;25;;5;0;0;0;0;0
14;260;20180701;15;100;60;70;120;258;;46;10;263;0;0;10160;82;0;25;;5;0;0;0;0;0
15;260;20180701;16;90;60;60;120;257;;42;10;216;0;0;10155;81;0;25;;5;0;0;0;0;0
16;260;20180701;17;100;60;50;110;254;;46;10;162;0;0;10154;82;0;26;;5;0;0;0;0;0
17;260;20180701;18;100;60;60;100;246;246.0;44;10;104;0;0;10154;83;0;26;;5;0;0;0;0;0
